produksi,bibit,tk,obat,pendidikan,jak,pengalaman
400,150,53,8000,15,4,6
700,80,40,5600,6,4,21
3000,300,170,4400,4,5,25
3200,300,193,10000,3,4,33
2000,100,70,504,0,5,28
500,100,56,12000,9,5,9
1500,500,222,4000,2,3,24
2500,200,136,7200,3,5,35
1000,1000,94,18600,6,3,15
2000,500,213,5400,5,3,30
10000,2500,705,4800,2,7,42
2000,300,163,6400,5,4,16
8000,1300,318,18000,6,6,20
9000,1200,450,8000,6,4,49
5000,1000,152,8000,1,4,40
1700,200,114,5000,4,3,5
3000,500,238,15000,6,4,58
700,200,137,2000,6,3,16
2500,700,185,16200,9,4,11
3000,800,200,15000,2,3,10
1000,300,135,10000,6,4,23
3000,300,166,6000,6,3,21
2500,320,118,3600,6,4,24
2000,1000,319,8000,6,3,16
2000,1000,264,6000,9,7,13
3000,1000,197,12000,4,5,10
2000,1000,216,420,4,5,19
2500,1200,362,24000,6,2,26
5000,1800,282,9000,6,4,22
1200,250,124,7940,5,3,18
10000,5000,638,30000,9,3,24
2500,1500,217,25000,9,3,15
8000,2000,244,12000,6,5,12
10000,2000,253,16000,16,4,16
5000,1000,263,15000,5,8,45
1000,200,78,280,3,4,16
3000,1500,222,10000,6,4,23
3000,500,171,6000,6,5,13
3500,500,344,10800,5,5,20
2000,400,116,5000,0,4,12
2000,200,55,1750,6,4,7
2000,500,180,4400,6,7,13
600,200,161,8000,5,4,16
1500,1000,160,840,0,4,28
6000,900,301,4968,12,4,6
9000,1300,293,4800,12,4,11
8000,850,155,8800,9,3,18
1500,500,85,4070,6,3,10
1000,300,231,5000,1,3,10
3200,450,130,8800,4,2,26
4000,1000,140,8400,3,3,20
3000,100,98,9600,3,2,11
3000,500,152,10000,6,4,10
2000,200,98,4000,5,2,6
3000,400,154,10000,6,2,21
3500,400,132,8800,3,5,10
4000,650,141,7200,4,3,24
3000,1200,174,9200,5,2,11
3000,450,112,4000,9,3,12
4000,850,163,10000,9,4,8
