income,output,price,labour,transport,education,edu_cat,age,village,local
58420500,1200,75000,27150000,4800000,SMP,2,25,Negororejo,0
974276375,12000,76250,37520000,6000000,SD,1,49,Negororejo,0
534774250,7000,80000,38000000,6000000,SD,1,42,Lumbang,1
151362625,2400,75000,12795000,5600000,SMA,3,41,Branggah,0
53440125,1000,76250,16400000,5600000,SMP,2,32,Lumbang,1
70848500,1350,75000,15510000,4500000,S1,4,52,Lumbang,1
101248375,1700,76250,26060000,3200000,SMA,3,39,Wonogoro,0
126912625,2100,72500,17450000,4000000,SMA,3,51,Negororejo,0
87587625,1600,72500,18800000,2800000,SMA,3,52,Wonogoro,0
118572625,1850,78750,16380000,4500000,SMP,2,37,Tandon Sentul,0
46111375,1000,77500,18225000,5600000,S1,4,49,Lambang Kuning,0
144631000,2300,73750,14250000,3500000,S1,4,35,Negororejo,0
156395125,2600,75000,26440000,4000000,SMA,3,40,Negororejo,0
62052625,1300,77500,28375000,4900000,SMP,2,44,Negororejo,0
50310875,1000,73750,11000000,4500000,SD,1,51,Tandon Sentul,0
46773250,900,78750,15650000,2800000,SMP,2,47,Purut,0
75001000,1400,73750,16700000,4500000,SD,1,44,Wonogoro,0
168928375,2700,73750,19080000,4000000,SMP,2,43,Lambang Kuning,0
180068375,2500,81250,19000000,2800000,SD,1,52,Branggah,0
95097625,1650,72500,20580000,5250000,SD,1,56,Branggah,0
64292625,1100,75000,14525000,3750000,SMP,2,48,Branggah,0
41022625,900,75000,16540000,4800000,SMP,2,32,Branggah,0
67382375,1300,77500,22200000,3500000,SD,1,36,Branggah,0
46432625,1000,75000,14120000,5600000,SMP,2,41,Branggah,0
32840625,850,72500,17040000,3200000,SMP,2,27,Negororejo,0
28488500,940,70000,23000000,5600000,SMP,2,33,Negororejo,0
142343500,2000,80000,14500000,2250000,SMP,2,43,Negororejo,0
78693875,1680,72500,18840000,4000000,SMA,3,50,Negororejo,0
26406750,800,73750,17800000,5600000,SMA,3,41,Negororejo,0
79352625,1350,75000,12700000,4500000,SMP,2,29,Negororejo,0
67695625,1150,73750,14500000,2800000,SD,1,49,Negororejo,0
118500125,2000,73750,21280000,4500000,SD,1,55,Negororejo,0
83214375,1450,76250,16240000,4000000,SMP,2,54,Negororejo,0
119982625,2100,72500,21720000,2800000,SMP,2,45,Negororejo,0
103333375,1640,77500,14000000,4900000,SMP,2,36,Branggah,0
59273375,1140,72500,15150000,4500000,SMP,2,38,Lumbang,1
