kep_bermitra;usia;pendidikan;pegalaman;jarak_lahan;luas_lahan;sumber_modal;kelompok_tani;kud
1;45;6;11;7.5;4;1;1;1
1;38;12;12;8;0.15;1;1;1
1;50;9;30;5.7;1;1;1;1
1;48;6;25;4.8;0.5;1;1;1
1;61;6;36;5.6;1.8;1;1;1
1;41;16;16;7.9;15;1;1;1
1;50;15;21;6.4;2;0;1;1
0;40;12;8;7.4;10;0;1;1
0;48;12;25;5.7;3;0;1;1
1;55;12;35;5.4;1;1;1;1
1;68;6;27;4.4;2;0;1;1
0;29;12;10;4.4;2;0;0;0
0;38;9;11;12;1;0;0;0
0;45;9;20;5.9;3.5;0;1;0
0;42;9;10;5.9;4;0;0;0
1;56;6;30;5.3;0.3;1;1;1
1;51;12;20;4.7;0.5;0;1;1
1;56;12;13;6.4;1;0;1;1
0;70;9;40;14.7;1;0;1;1
1;49;13;19;14.5;7;0;1;1
1;57;9;20;6.6;1.5;1;1;1
1;40;9;15;12.4;0.5;1;1;1
0;50;12;20;10.4;1;1;1;1
1;60;7;15;11.5;0.25;1;1;1
1;40;18;18;6.6;1.8;1;1;1
1;63;12;39;4.4;2;0;1;1
1;51;6;26;13.5;0.45;1;1;1
1;50;6;20;13.7;0.2;1;1;1
1;55;6;24;8.9;0.5;0;1;1
0;42;9;11;13.9;1;0;0;0
0;32;12;12;3.7;2;0;1;1
0;44;15;21;3.7;1;0;0;0
1;56;16;25;6.4;1;1;1;1
0;39;9;8;3.3;2;0;0;0
0;37;9;5;4;2;0;0;0
0;49;9;14;13.8;2.5;0;0;0
1;58;12;38;6.8;0.75;0;1;1
0;40;12;20;6.9;4;0;1;1
0;55;9;15;7.1;1;0;1;1
0;55;3;20;11.5;0.8;1;1;0
1;40;12;10;14.5;1.5;1;1;1
1;56;9;30;7.8;0.5;1;1;1
1;50;6;20;5.7;1;1;1;1
1;38;12;8;5.5;1;1;1;1
0;60;9;30;11.5;4;0;1;1
0;50;6;20;11.5;1;1;0;0
0;52;6;20;12.8;1.5;1;0;0
0;58;6;25;11.5;3;0;1;0
1;42;12;12;8.9;0.25;1;1;1
1;60;5;40;4.9;0.5;0;1;1
0;40;12;8;12.4;2;0;0;0
1;32;9;5;11.5;0.35;1;1;1
1;45;9;15;3.1;0.3;1;1;1
1;69;2;50;13.7;1.2;1;1;1
1;51;6;30;5.4;0.2;0;1;1
1;67;7;41;6.4;2.25;1;1;1
0;58;9;38;7;0.8;0;1;0
0;35;12;5;7.6;1;0;1;1
0;40;12;9;7.7;4;0;0;0
1;60;6;43;7;1;0;1;1
0;32;12;11;7.6;0.9;0;0;0
1;47;9;22;6.7;0.25;1;1;1
1;50;12;25;7.8;1;0;1;1
0;44;12;15;7.8;2;0;0;0
0;55;12;34;11.5;1;0;1;1
0;34;12;6;12;2;0;0;0
0;30;12;9;11.7;1;0;0;0
0;40;9;15;6.5;0.75;1;1;1
0;45;12;20;4;1.5;0;1;1
0;38;12;9;4;2;0;0;0
1;56;12;16;6.3;0.25;0;1;1
1;60;6;20;7;0.2;1;1;1
1;55;7;20;7.2;0.1;1;1;1
1;34;12;8;5;1;1;1;1
0;29;12;5;6;2;0;0;0
0;28;9;5;3.9;2;0;0;0
1;60;6;45;5;0.5;1;1;1
1;56;3;30;14.1;0.4;1;1;1
0;60;6;30;6.5;1;0;1;1
0;54;10;19;13.7;1.5;0;0;0
0;38;12;20;14.3;2;0;0;0
1;50;12;30;7.8;1;0;1;1
1;58;6;25;5.4;0.5;0;1;1
1;55;6;20;5.4;1;0;1;1
1;44;9;11;7.8;1;1;1;1
1;55;6;30;5.2;2;1;1;1
1;50;5;30;7.8;0.5;1;1;1
1;60;3;20;15.4;2;1;1;1
0;48;12;18;9.2;2;0;1;1
0;43;12;7;8.9;1.4;0;0;0
0;51;6;30;5;1;0;1;1
1;60;6;30;5.3;0.25;1;1;1
1;55;6;20;5.2;0.25;1;1;1
1;55;8;38;5.1;0.5;1;1;1
1;50;9;15;5.7;1.5;1;1;1
0;45;12;7;7.9;5;0;0;0
1;50;9;20;9.4;1.25;1;1;1
0;33;16;4;9.1;2;0;0;0
0;45;12;15;9.2;4;0;0;0
1;48;9;15;5.4;0.4;0;1;1
0;48;9;4;5.4;1.5;0;0;0
0;54;9;20;8.1;5;0;0;0
0;30;12;2;8.7;0.5;0;0;0
0;35;12;4;8.8;1;0;0;0
0;28;12;8;9;1;0;0;0
1;60;6;15;5.2;0.85;1;1;1
1;56;6;40;5.2;0.5;1;1;1
0;35;6;9;4.7;2;1;0;0
0;46;9;7;4.7;2;1;0;0
1;60;7;41;11.5;0.35;1;1;1
0;58;9;10;8.4;2;0;0;0
0;54;9;7;9;1;0;0;0
0;50;9;11;9.5;0.5;0;0;0
1;55;7;23;9.5;0.7;1;1;1
0;50;9;8;7.6;0.5;0;0;0
0;38;12;4;7.5;1;0;0;0
0;31;12;4;7.4;0.9;0;0;0
0;35;12;12;3;0.4;0;0;0
0;40;15;21;3;0.5;0;0;0
0;42;12;12;6.2;0.5;0;0;0
