years,urban_pop
1960,12799370.49
1961,13353483.27
1962,13931416.61
1963,14536389.98
1964,15169459.43
1965,15831167.68
1966,16524247.59
1967,17248678.3
1968,18001989.95
1969,18785497.36
1970,19596343.59
1971,20438059.71
1972,21515668.61
1973,22703703.88
1974,23946453.67
1975,25243596.61
1976,26596456.6
1977,28001978.07
1978,29468689.95
1979,30996678.82
1980,32591869.23
1981,34436555.35
1982,36463771.55
1983,38577957.9
1984,40774955.23
1985,43042271.9
1986,45381921.58
1987,47793462.13
1988,50281089.85
1989,52840794.18
1990,55483473.64
1991,58355036.4
1992,61396542.22
1993,64522968.29
1994,67741185.6
1995,71046002.56
1996,74433223.36
1997,77897524.08
1998,81452539.69
1999,85098300.55
2000,88840035.52
2001,91738482.67
2002,94698441.95
2003,97720469.84
2004,100811245.3
2005,103961907.4
2006,107178769.3
2007,110459094.5
2008,113814306.1
2009,117243823
2010,120709135.6
2011,124016434.1
2012,127396100.9
2013,130825450.9
2014,134286662.8
2015,137751865.8
2016,141211677.2
2017,144655573.1
2018,148088731.2
2019,151509723.7
2020,154926514.2
